alias,cluster_index,cluster_name
Cellulose enzyme,0,Industrial Enzymes & Fungal Bioprocessing
Nitric oxide synthase (NOS),12,Microbial Genetics & Synthetic Biology
Arthrospira platensis,11,Microbial & Algal Bioprocessing
Chlorella sorokiniana,29,Photosynthetic Pigments & Plant/Algal Physiology
Chlorella (microalga),14,Agricultural Residues & Biomass Valorization
Tetraselmis suecica (microalga),14,Agricultural Residues & Biomass Valorization
Laminarin,16,Marine & Algal Natural Products
Chlorella viridis (microalga),16,Marine & Algal Natural Products
Formate dehydrogenase (FDH),13,Industrial Chemistry & Chemical Engineering
Alcohol dehydrogenase E (AdhE),27,Metabolic Engineering & Synthetic Biology
Fumarate reductase,27,Metabolic Engineering & Synthetic Biology
Lactate dehydrogenase A (LDHA),27,Metabolic Engineering & Synthetic Biology
Mineral salt,11,Microbial & Algal Bioprocessing
Pyruvate formate lyase B (pflB),27,Metabolic Engineering & Synthetic Biology
Pyruvate oxidase B (poxB),22,Genetic Engineering Tools & Expression Systems
Iron porphyrin,7,Heterogeneous Catalysis & Materials
Pectinolytic enzyme,11,Microbial & Algal Bioprocessing
Nannochloropsis oculata,11,Microbial & Algal Bioprocessing
Iodine (I),13,Industrial Chemistry & Chemical Engineering
Cytoskeleton,6,Eukaryotic Cell Biology & Organelles
Polyphosphate,16,Marine & Algal Natural Products
Palladium surface (Pd),5,Electrocatalysis & CO2 Conversion
Genome editing,12,Microbial Genetics & Synthetic Biology
Consensus sequence,22,Genetic Engineering Tools & Expression Systems
Contig,2,Genomics & Genetic Engineering
Fumarase,22,Genetic Engineering Tools & Expression Systems
Transformant,27,Metabolic Engineering & Synthetic Biology
Beta-xylosidase,0,Industrial Enzymes & Fungal Bioprocessing
Acidic ionic liquid,7,Heterogeneous Catalysis & Materials
Solar cell,7,Heterogeneous Catalysis & Materials
Promoter element,3,Protein Structure & Cell Biology
Boron (B),5,Electrocatalysis & CO2 Conversion
Boron (B),7,Heterogeneous Catalysis & Materials
Omega-3 fatty acid (n-3),29,Photosynthetic Pigments & Plant/Algal Physiology
Hansenula polymorpha (yeast),11,Microbial & Algal Bioprocessing
Plastid gene,6,Eukaryotic Cell Biology & Organelles
Plastid genome,6,Eukaryotic Cell Biology & Organelles
Dimethylformamide (DMF),1,Inorganic Chemistry & Small Molecule Catalysis
Transmembrane protein,6,Eukaryotic Cell Biology & Organelles
Malic enzyme,27,Metabolic Engineering & Synthetic Biology
AOX1 promoter,27,Metabolic Engineering & Synthetic Biology
Lignin polymer,10,Biorefinery Feedstocks & Biomass Processing
Pincer ligand,1,Inorganic Chemistry & Small Molecule Catalysis
Iron(III) oxide (Fe2O3),7,Heterogeneous Catalysis & Materials
Cyclohexanone (C6H10O),7,Heterogeneous Catalysis & Materials
Unicellular microalga,11,Microbial & Algal Bioprocessing
Unicellular microalga,29,Photosynthetic Pigments & Plant/Algal Physiology
Alcohol dehydrogenase A (ADHA),22,Genetic Engineering Tools & Expression Systems
Acetol (C3H6O2),13,Industrial Chemistry & Chemical Engineering
2-Propanediol (C3H8O2),7,Heterogeneous Catalysis & Materials
Citrate synthase,27,Metabolic Engineering & Synthetic Biology
Polymorphism,2,Genomics & Genetic Engineering
Complementary DNA (cDNA),24,Genetic Elements & Regulatory Sequences
Genomic sequence,2,Genomics & Genetic Engineering
Protein-encoding gene,2,Genomics & Genetic Engineering
Selenium (Se),5,Electrocatalysis & CO2 Conversion
Glucose molecule,10,Biorefinery Feedstocks & Biomass Processing
Pullulanase,22,Genetic Engineering Tools & Expression Systems
Complex molecule,18,Biochemicals & Green Chemistry
Clostridium thermocellum (bacterium),4,Plant Cell Wall Enzymes & Carbohydrate Processing
Phosphotransacetylase (PTA),27,Metabolic Engineering & Synthetic Biology
Chiral amine,18,Biochemicals & Green Chemistry
Polyvinyl chloride (PVC),23,Environmental Engineering & Waste Management
Nanocube,5,Electrocatalysis & CO2 Conversion
"1,4-Butanediol (BDO)",17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Integrated biorefinery,18,Biochemicals & Green Chemistry
Low-density polyethylene (LDPE),23,Environmental Engineering & Waste Management
Microbial product,10,Biorefinery Feedstocks & Biomass Processing
Renewable Fuel Standard (RFS),17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Cellulosic biomass,10,Biorefinery Feedstocks & Biomass Processing
Sodium dodecyl sulfate (SDS),0,Industrial Enzymes & Fungal Bioprocessing
Butyrate,11,Microbial & Algal Bioprocessing
Myristic acid (C14H28O2),13,Industrial Chemistry & Chemical Engineering
Lipolytic enzyme,4,Plant Cell Wall Enzymes & Carbohydrate Processing
cDNA library,24,Genetic Elements & Regulatory Sequences
Toxic intermediate,27,Metabolic Engineering & Synthetic Biology
Purified enzyme,0,Industrial Enzymes & Fungal Bioprocessing
Expression cassette,22,Genetic Engineering Tools & Expression Systems
16S ribosomal RNA gene,11,Microbial & Algal Bioprocessing
Fumarate,3,Protein Structure & Cell Biology
Methanogen,11,Microbial & Algal Bioprocessing
Methylene group (CH2),7,Heterogeneous Catalysis & Materials
Sequence homology,2,Genomics & Genetic Engineering
Furfural (biomass-derived),13,Industrial Chemistry & Chemical Engineering
Intracellular protein,11,Microbial & Algal Bioprocessing
Carbohydrate polymer,10,Biorefinery Feedstocks & Biomass Processing
Plasma membrane,6,Eukaryotic Cell Biology & Organelles
Cyclohexene (C6H10),13,Industrial Chemistry & Chemical Engineering
Rhenium (Re),5,Electrocatalysis & CO2 Conversion
p-Toluenesulfonic acid (PTSA),7,Heterogeneous Catalysis & Materials
RNA polymerase,22,Genetic Engineering Tools & Expression Systems
Co-substrate,11,Microbial & Algal Bioprocessing
Monomeric product,13,Industrial Chemistry & Chemical Engineering
Aluminum ion (Al3+),1,Inorganic Chemistry & Small Molecule Catalysis
16S ribosomal RNA sequence,25,Microbial Community Analysis & Metagenomics
Acetic acid bacterium,10,Biorefinery Feedstocks & Biomass Processing
Biomass particle,23,Environmental Engineering & Waste Management
Severity factor,14,Agricultural Residues & Biomass Valorization
Botryococcus braunii,11,Microbial & Algal Bioprocessing
Scenedesmus,14,Agricultural Residues & Biomass Valorization
Carotenoid pigment,29,Photosynthetic Pigments & Plant/Algal Physiology
Extracellular protein,22,Genetic Engineering Tools & Expression Systems
Ulva lactuca (sea lettuce),14,Agricultural Residues & Biomass Valorization
Macrophyte,14,Agricultural Residues & Biomass Valorization
Endophyte,29,Photosynthetic Pigments & Plant/Algal Physiology
Transfer RNA (tRNA),24,Genetic Elements & Regulatory Sequences
Yarrowia lipolytica (oleaginous yeast),12,Microbial Genetics & Synthetic Biology
LacZ gene,22,Genetic Engineering Tools & Expression Systems
Reporter gene,27,Metabolic Engineering & Synthetic Biology
Phenylalanine ammonia-lyase (PAL),27,Metabolic Engineering & Synthetic Biology
Dilute sulfuric acid,14,Agricultural Residues & Biomass Valorization
Alkaline lignin,13,Industrial Chemistry & Chemical Engineering
Lipid droplet,6,Eukaryotic Cell Biology & Organelles
Molten salt,13,Industrial Chemistry & Chemical Engineering
Nitrogen oxides (NOx) emission,23,Environmental Engineering & Waste Management
Spirulina,16,Marine & Algal Natural Products
Alcohol dehydrogenase 2 (ADH2),27,Metabolic Engineering & Synthetic Biology
Alcohol dehydrogenase (ADH),7,Heterogeneous Catalysis & Materials
Citrate,22,Genetic Engineering Tools & Expression Systems
Methyl levulinate,7,Heterogeneous Catalysis & Materials
Bacillus megaterium (bacterium),11,Microbial & Algal Bioprocessing
Kluyveromyces,27,Metabolic Engineering & Synthetic Biology
Kluyveromyces,12,Microbial Genetics & Synthetic Biology
Cadmium (Cd),14,Agricultural Residues & Biomass Valorization
Pectin lyase,0,Industrial Enzymes & Fungal Bioprocessing
Arabinofuranosidase,0,Industrial Enzymes & Fungal Bioprocessing
Epoxide hydrolase (ECH),7,Heterogeneous Catalysis & Materials
Succinyl-CoA,27,Metabolic Engineering & Synthetic Biology
Crotonyl-CoA,27,Metabolic Engineering & Synthetic Biology
Synthetic promoter,12,Microbial Genetics & Synthetic Biology
Empty fruit bunch (EFB),23,Environmental Engineering & Waste Management
Amberlyst-15 (ion-exchange resin),7,Heterogeneous Catalysis & Materials
Oil palm frond (OPF),23,Environmental Engineering & Waste Management
Zeolite Beta,13,Industrial Chemistry & Chemical Engineering
Disulfide,2,Genomics & Genetic Engineering
Carbon species,5,Electrocatalysis & CO2 Conversion
Carbon species,7,Heterogeneous Catalysis & Materials
Pyruvate kinase (PK),22,Genetic Engineering Tools & Expression Systems
Biodiesel blend (B20),23,Environmental Engineering & Waste Management
Oxygenase,27,Metabolic Engineering & Synthetic Biology
Copper(II) chloride (CuCl2),7,Heterogeneous Catalysis & Materials
Ferric chloride (FeCl3),7,Heterogeneous Catalysis & Materials
Metal chloride,7,Heterogeneous Catalysis & Materials
Beta zeolite,13,Industrial Chemistry & Chemical Engineering
Unmanned aerial vehicle (UAV),20,"Engineering, Vehicles & Process Equipment"
Alkoxide,7,Heterogeneous Catalysis & Materials
2-Methylfuran (2-MF),7,Heterogeneous Catalysis & Materials
Electromotive force (EMF),7,Heterogeneous Catalysis & Materials
Nicotinamide adenine dinucleotide (NAD),27,Metabolic Engineering & Synthetic Biology
Dimethyl carbonate (C3H6O3),13,Industrial Chemistry & Chemical Engineering
Nucleic acid,2,Genomics & Genetic Engineering
Nucleic acid,27,Metabolic Engineering & Synthetic Biology
Nickel oxide (NiO),7,Heterogeneous Catalysis & Materials
Terephthalic acid (C8H6O4),7,Heterogeneous Catalysis & Materials
ATP synthase,6,Eukaryotic Cell Biology & Organelles
Salicylic acid (C7H6O3),27,Metabolic Engineering & Synthetic Biology
Aromatic aldehyde,13,Industrial Chemistry & Chemical Engineering
Aromatic aldehyde,7,Heterogeneous Catalysis & Materials
Benzoate,27,Metabolic Engineering & Synthetic Biology
Vanillic acid,11,Microbial & Algal Bioprocessing
Cyanophycinase (CNF),13,Industrial Chemistry & Chemical Engineering
Alcohol oxidase 1 promoter (PAOX1),27,Metabolic Engineering & Synthetic Biology
Cis-acting element,2,Genomics & Genetic Engineering
Iron species (Fe),13,Industrial Chemistry & Chemical Engineering
Thyroid peroxidase (TPO),23,Environmental Engineering & Waste Management
Glyceride,13,Industrial Chemistry & Chemical Engineering
Mouse (murine),26,Cancer Biology & Human Disease Models
Chloral (C2HCl3O2),7,Heterogeneous Catalysis & Materials
Dunaliella tertiolecta (microalga),11,Microbial & Algal Bioprocessing
Molecular genetics,12,Microbial Genetics & Synthetic Biology
Host cell,12,Microbial Genetics & Synthetic Biology
Rhamnolipid,11,Microbial & Algal Bioprocessing
Fatty acid chain,27,Metabolic Engineering & Synthetic Biology
Rhamnose (C6H12O5),11,Microbial & Algal Bioprocessing
Inorganic element,23,Environmental Engineering & Waste Management
Phenylpropanoid,18,Biochemicals & Green Chemistry
Fluorine (F),5,Electrocatalysis & CO2 Conversion
Chorismate mutase,27,Metabolic Engineering & Synthetic Biology
Glucose/Xylose,11,Microbial & Algal Bioprocessing
3-Hydroxybutyrate,27,Metabolic Engineering & Synthetic Biology
Polyhydroxyalkanoate synthase (PHA synthase),27,Metabolic Engineering & Synthetic Biology
Chinese hamster ovary (CHO),5,Electrocatalysis & CO2 Conversion
Chinese hamster ovary (CHO),7,Heterogeneous Catalysis & Materials
Peel,14,Agricultural Residues & Biomass Valorization
Tetrabutylammonium bromide (TBAB),13,Industrial Chemistry & Chemical Engineering
Small organic molecule,7,Heterogeneous Catalysis & Materials
Nostoc,11,Microbial & Algal Bioprocessing
Nickel molybdate (NiMo),13,Industrial Chemistry & Chemical Engineering
Phaeodactylum (diatom),16,Marine & Algal Natural Products
Hydroxytoluene,14,Agricultural Residues & Biomass Valorization
Phlorotannin,16,Marine & Algal Natural Products
Molybdenum disulfide (MoS2),7,Heterogeneous Catalysis & Materials
Propanol (C3H7OH),1,Inorganic Chemistry & Small Molecule Catalysis
Lithium (Li),7,Heterogeneous Catalysis & Materials
Aspergillus,12,Microbial Genetics & Synthetic Biology
Chloramphenicol,29,Photosynthetic Pigments & Plant/Algal Physiology
Carbonic anhydrase,8,Photosynthesis & Light-Harvesting
Spectroscopic method,13,Industrial Chemistry & Chemical Engineering
Coke,13,Industrial Chemistry & Chemical Engineering
Potassium carbonate (K2CO3),13,Industrial Chemistry & Chemical Engineering
Proline (L-Pro),27,Metabolic Engineering & Synthetic Biology
Enzyme,11,Microbial & Algal Bioprocessing
Cobalt-based catalyst (Co),7,Heterogeneous Catalysis & Materials
Copper(I) ion (Cu+),5,Electrocatalysis & CO2 Conversion
Therapeutic protein,12,Microbial Genetics & Synthetic Biology
Gallium (Ga),7,Heterogeneous Catalysis & Materials
Phenolic acid,16,Marine & Algal Natural Products
Synthetic natural gas (SNG),23,Environmental Engineering & Waste Management
Argon (Ar),13,Industrial Chemistry & Chemical Engineering
Agarose,15,Animal & Human Cell Models
Multi-enzyme,11,Microbial & Algal Bioprocessing
Hydrogen/Carbon dioxide (H2/CO2),1,Inorganic Chemistry & Small Molecule Catalysis
Cellobiohydrolase I (CBH I),0,Industrial Enzymes & Fungal Bioprocessing
Tryptophan (C11H12N2O2),27,Metabolic Engineering & Synthetic Biology
Catalytic domain,4,Plant Cell Wall Enzymes & Carbohydrate Processing
WRKY transcription factor,2,Genomics & Genetic Engineering
Lignin peroxidase,11,Microbial & Algal Bioprocessing
"Ribulose-1,5-bisphosphate",8,Photosynthesis & Light-Harvesting
Oleic acid (C18:1),13,Industrial Chemistry & Chemical Engineering
Electrochemical CO2 reduction reaction (eCO2RR),5,Electrocatalysis & CO2 Conversion
Upflow anaerobic sludge blanket (UASB),20,"Engineering, Vehicles & Process Equipment"
Dominant factor,23,Environmental Engineering & Waste Management
Cellobiohydrolase (CBH),22,Genetic Engineering Tools & Expression Systems
Trichoderma reesei Cel7A (cellobiohydrolase),22,Genetic Engineering Tools & Expression Systems
Chloride ion (Cl-),1,Inorganic Chemistry & Small Molecule Catalysis
Autophagy,6,Eukaryotic Cell Biology & Organelles
Vacuole,6,Eukaryotic Cell Biology & Organelles
Arachidonic acid (C20H32O2),29,Photosynthetic Pigments & Plant/Algal Physiology
Alpha-linolenic acid (ALA),29,Photosynthetic Pigments & Plant/Algal Physiology
Palladium species (Pd),5,Electrocatalysis & CO2 Conversion
JP-8 (jet fuel),23,Environmental Engineering & Waste Management
CAT8 gene (Saccharomyces cerevisiae),6,Eukaryotic Cell Biology & Organelles
Glucose repression protein (Mig1),6,Eukaryotic Cell Biology & Organelles
Sucrose non-fermenting 1 (SNF1),6,Eukaryotic Cell Biology & Organelles
Carbon dioxide (CO2) molecule,5,Electrocatalysis & CO2 Conversion
Iron oxide (Fe2O3/Fe3O4),13,Industrial Chemistry & Chemical Engineering
Phenanthrene (C14H10),23,Environmental Engineering & Waste Management
"Biotin (Vitamin B7, C10H16N2O3S)",3,Protein Structure & Cell Biology
Tetracycline,22,Genetic Engineering Tools & Expression Systems
Enhanced green fluorescent protein (EGFP),27,Metabolic Engineering & Synthetic Biology
Growth factor,12,Microbial Genetics & Synthetic Biology
Protein phosphatase 3 (PPH3),1,Inorganic Chemistry & Small Molecule Catalysis
Gamma-aminobutyric acid (GABA),27,Metabolic Engineering & Synthetic Biology
Alkaloid,16,Marine & Algal Natural Products
Agrochemical,18,Biochemicals & Green Chemistry
Troposphere,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Partial pressure of CO2 (pCO2),13,Industrial Chemistry & Chemical Engineering
Phenazine,11,Microbial & Algal Bioprocessing
Nitride,5,Electrocatalysis & CO2 Conversion
Cardanol,18,Biochemicals & Green Chemistry
Soluble solid,14,Agricultural Residues & Biomass Valorization
Vinasse,10,Biorefinery Feedstocks & Biomass Processing
Enzyme variant,18,Biochemicals & Green Chemistry
16S ribosomal RNA gene sequence,25,Microbial Community Analysis & Metagenomics
Red light,29,Photosynthetic Pigments & Plant/Algal Physiology
Cyclic adenosine monophosphate (cAMP),6,Eukaryotic Cell Biology & Organelles
Chromatin,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Phenol,13,Industrial Chemistry & Chemical Engineering
Phycobiliprotein,16,Marine & Algal Natural Products
Xanthan gum,0,Industrial Enzymes & Fungal Bioprocessing
Xanthomonas campestris (bacterium),27,Metabolic Engineering & Synthetic Biology
C-Phycocyanin,29,Photosynthetic Pigments & Plant/Algal Physiology
Pyruvate decarboxylase 1 (PDC1),22,Genetic Engineering Tools & Expression Systems
Amino acid residue,2,Genomics & Genetic Engineering
Bacterial genus,27,Metabolic Engineering & Synthetic Biology
Cacao (Theobroma cacao),14,Agricultural Residues & Biomass Valorization
Bromide (Br-),13,Industrial Chemistry & Chemical Engineering
Bromide (Br-),7,Heterogeneous Catalysis & Materials
Iodide (I-),13,Industrial Chemistry & Chemical Engineering
Iodide (I-),7,Heterogeneous Catalysis & Materials
Osmolyte,27,Metabolic Engineering & Synthetic Biology
Plasmid DNA,12,Microbial Genetics & Synthetic Biology
Protic solvent,7,Heterogeneous Catalysis & Materials
Macroalga,23,Environmental Engineering & Waste Management
Multidrug resistance,12,Microbial Genetics & Synthetic Biology
Protease,0,Industrial Enzymes & Fungal Bioprocessing
Nitrogen-15 isotope (15N),15,Animal & Human Cell Models
Galactose (D-galactose),10,Biorefinery Feedstocks & Biomass Processing
Aldose,7,Heterogeneous Catalysis & Materials
Aromatic structure,14,Agricultural Residues & Biomass Valorization
Aromatic structure,23,Environmental Engineering & Waste Management
High-solid,0,Industrial Enzymes & Fungal Bioprocessing
Adipose triglyceride lipase (ATGL),19,Lipid Metabolism & Fatty Acid Synthesis
Butyryl-CoA,27,Metabolic Engineering & Synthetic Biology
cAMP receptor protein (CRP),3,Protein Structure & Cell Biology
Glutamate dehydrogenase,22,Genetic Engineering Tools & Expression Systems
Glutamine (C5H10N2O3),22,Genetic Engineering Tools & Expression Systems
Celluclast (enzyme),0,Industrial Enzymes & Fungal Bioprocessing
Fungal pathogen,29,Photosynthetic Pigments & Plant/Algal Physiology
Alpha helix,2,Genomics & Genetic Engineering
Streptomyces coelicolor,11,Microbial & Algal Bioprocessing
Trehalose (C12H22O11),27,Metabolic Engineering & Synthetic Biology
Thylakoid,6,Eukaryotic Cell Biology & Organelles
Propionic acid (C3H6O2),18,Biochemicals & Green Chemistry
Marine microorganism,16,Marine & Algal Natural Products
Seawater,10,Biorefinery Feedstocks & Biomass Processing
Barium ion (Ba2+),0,Industrial Enzymes & Fungal Bioprocessing
N-terminal domain,2,Genomics & Genetic Engineering
"3,5-Dinitrosalicylic acid (DNS)",0,Industrial Enzymes & Fungal Bioprocessing
Lactobacillus (bacterium),11,Microbial & Algal Bioprocessing
Genus,11,Microbial & Algal Bioprocessing
Nostocales (cyanobacteria order),16,Marine & Algal Natural Products
Toxin,16,Marine & Algal Natural Products
Listeria monocytogenes (bacterium),29,Photosynthetic Pigments & Plant/Algal Physiology
Salmonella,29,Photosynthetic Pigments & Plant/Algal Physiology
Ultrasound-assisted extraction (UAE),14,Agricultural Residues & Biomass Valorization
Shikimic acid (C7H10O5),27,Metabolic Engineering & Synthetic Biology
Paralog,2,Genomics & Genetic Engineering
Carboxymethyl cellulose (CMC),0,Industrial Enzymes & Fungal Bioprocessing
Nitrogen fertilizer,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Metal salt,7,Heterogeneous Catalysis & Materials
Photosynthetic microalga,12,Microbial Genetics & Synthetic Biology
Accellerase (enzyme blend),0,Industrial Enzymes & Fungal Bioprocessing
Eukaryotic alga,12,Microbial Genetics & Synthetic Biology
Microbial host,27,Metabolic Engineering & Synthetic Biology
Heme,6,Eukaryotic Cell Biology & Organelles
Pathogenic fungus,11,Microbial & Algal Bioprocessing
"2-Propanol (Isopropanol, C3H8O)",13,Industrial Chemistry & Chemical Engineering
Eucalyptus grandis,14,Agricultural Residues & Biomass Valorization
Limonene (C10H16),27,Metabolic Engineering & Synthetic Biology
Transmission electron microscopy (TEM),13,Industrial Chemistry & Chemical Engineering
Sulfite (SO3^2-),11,Microbial & Algal Bioprocessing
Kanamycin,3,Protein Structure & Cell Biology
Potassium ion (K+),7,Heterogeneous Catalysis & Materials
Carbon capture,18,Biochemicals & Green Chemistry
Squalene (C30H50),27,Metabolic Engineering & Synthetic Biology
Sesquiterpene,27,Metabolic Engineering & Synthetic Biology
Poly(3-hydroxybutyrate) (PHB),27,Metabolic Engineering & Synthetic Biology
Bacterial enzyme,11,Microbial & Algal Bioprocessing
Galacturonic acid,0,Industrial Enzymes & Fungal Bioprocessing
Tomato,11,Microbial & Algal Bioprocessing
Divalent cation,11,Microbial & Algal Bioprocessing
Anthracene,13,Industrial Chemistry & Chemical Engineering
Porphyra (red algae),16,Marine & Algal Natural Products
HeLa cell,15,Animal & Human Cell Models
HepG2 (human liver cancer cell line),26,Cancer Biology & Human Disease Models
HepG2 cell,26,Cancer Biology & Human Disease Models
Manganese oxide nanoparticle (MnP),13,Industrial Chemistry & Chemical Engineering
Crop residue,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Outer membrane,11,Microbial & Algal Bioprocessing
Hydroxycinnamic acid,11,Microbial & Algal Bioprocessing
Prochiral ketone,7,Heterogeneous Catalysis & Materials
Lignocellulosic biomass,10,Biorefinery Feedstocks & Biomass Processing
Living cell,12,Microbial Genetics & Synthetic Biology
Nitrogen-containing compound,7,Heterogeneous Catalysis & Materials
Alkali-activated earth materials (AAEM),23,Environmental Engineering & Waste Management
Alkaline earth metal,13,Industrial Chemistry & Chemical Engineering
Direct current (DC),13,Industrial Chemistry & Chemical Engineering
Synechocystis (cyanobacterium),12,Microbial Genetics & Synthetic Biology
Genomic locus,12,Microbial Genetics & Synthetic Biology
Oil palm empty fruit bunch (OPEFB),14,Agricultural Residues & Biomass Valorization
AlkB (alkane hydroxylase),11,Microbial & Algal Bioprocessing
Acetophenone,1,Inorganic Chemistry & Small Molecule Catalysis
Bacterial cell,16,Marine & Algal Natural Products
Marine ecosystem,10,Biorefinery Feedstocks & Biomass Processing
Immobilized cell,14,Agricultural Residues & Biomass Valorization
Promoter sequence,22,Genetic Engineering Tools & Expression Systems
Molecular replacement,2,Genomics & Genetic Engineering
Calcium carbonate (CaCO3),23,Environmental Engineering & Waste Management
Legume,11,Microbial & Algal Bioprocessing
Catabolic gene,27,Metabolic Engineering & Synthetic Biology
Dimethyl oxalate,13,Industrial Chemistry & Chemical Engineering
Normal cell,12,Microbial Genetics & Synthetic Biology
Ruthenium complex,5,Electrocatalysis & CO2 Conversion
Dinuclear complex,1,Inorganic Chemistry & Small Molecule Catalysis
Lanthanide,11,Microbial & Algal Bioprocessing
Cellic® CTec2 (enzyme blend),0,Industrial Enzymes & Fungal Bioprocessing
Methanolysis,13,Industrial Chemistry & Chemical Engineering
Methanolysis,7,Heterogeneous Catalysis & Materials
Ethylbenzene (C8H10),13,Industrial Chemistry & Chemical Engineering
Reactant,7,Heterogeneous Catalysis & Materials
Carbon product,5,Electrocatalysis & CO2 Conversion
Cytosolic acetyl-CoA,27,Metabolic Engineering & Synthetic Biology
Xylose isomerase,22,Genetic Engineering Tools & Expression Systems
Isobutene (C4H8),7,Heterogeneous Catalysis & Materials
Transaldolase,27,Metabolic Engineering & Synthetic Biology
Transketolase,27,Metabolic Engineering & Synthetic Biology
Tetratricopeptide repeat (TPR),13,Industrial Chemistry & Chemical Engineering
Microcosm,11,Microbial & Algal Bioprocessing
Standard temperature and pressure (STP),2,Genomics & Genetic Engineering
Plant kingdom,16,Marine & Algal Natural Products
Gracilaria,16,Marine & Algal Natural Products
Phycoerythrin (R-PE),26,Cancer Biology & Human Disease Models
"1,8-Diazabicyclo[5.4.0]undec-7-ene (DBU)",7,Heterogeneous Catalysis & Materials
Protic ionic liquid,13,Industrial Chemistry & Chemical Engineering
Thiol,1,Inorganic Chemistry & Small Molecule Catalysis
Shewanella (bacterium),27,Metabolic Engineering & Synthetic Biology
CRISPR interference (CRISPRi),12,Microbial Genetics & Synthetic Biology
Glutamate (L-Glu),27,Metabolic Engineering & Synthetic Biology
Phosphoenolpyruvate carboxykinase (PCK),22,Genetic Engineering Tools & Expression Systems
Mushroom,23,Environmental Engineering & Waste Management
Green fluorescent protein (GFP),22,Genetic Engineering Tools & Expression Systems
Cello-oligosaccharide,0,Industrial Enzymes & Fungal Bioprocessing
Cycloalkane,7,Heterogeneous Catalysis & Materials
Fucoidan,16,Marine & Algal Natural Products
Ultraviolet B (UV-B),8,Photosynthesis & Light-Harvesting
Hydrogen atmosphere,13,Industrial Chemistry & Chemical Engineering
Vicinal diol,7,Heterogeneous Catalysis & Materials
Dopamine,7,Heterogeneous Catalysis & Materials
Keto group,7,Heterogeneous Catalysis & Materials
Diene,7,Heterogeneous Catalysis & Materials
Monoterpene,27,Metabolic Engineering & Synthetic Biology
Nicotine,27,Metabolic Engineering & Synthetic Biology
Low-carbon,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Pectin methylesterase (PME),11,Microbial & Algal Bioprocessing
Polygalacturonase,0,Industrial Enzymes & Fungal Bioprocessing
Interspaced short palindromic repeat (CRISPR),12,Microbial Genetics & Synthetic Biology
Palindromic repeat,12,Microbial Genetics & Synthetic Biology
Pyridoxal phosphate (PLP),11,Microbial & Algal Bioprocessing
Zinc sulfate (ZnSO4),13,Industrial Chemistry & Chemical Engineering
Target product,13,Industrial Chemistry & Chemical Engineering
Komagataella phaffii (Pichia pastoris),12,Microbial Genetics & Synthetic Biology
Fermented product,10,Biorefinery Feedstocks & Biomass Processing
Basic site,13,Industrial Chemistry & Chemical Engineering
Pyruvate carboxylase (PYC),22,Genetic Engineering Tools & Expression Systems
Brunauer–Emmett–Teller (BET) method,14,Agricultural Residues & Biomass Valorization
Vitamin B1 (Thiamine),16,Marine & Algal Natural Products
Vitamin B2 (Riboflavin),16,Marine & Algal Natural Products
Duckweed (Lemna),23,Environmental Engineering & Waste Management
Mitogen-activated protein kinase (MAPK),6,Eukaryotic Cell Biology & Organelles
Electrophile,7,Heterogeneous Catalysis & Materials
Hexanol (C6H14O),11,Microbial & Algal Bioprocessing
Medium-chain fatty acid,11,Microbial & Algal Bioprocessing
Benzylamine,7,Heterogeneous Catalysis & Materials
Erythromycin,29,Photosynthetic Pigments & Plant/Algal Physiology
Surface modification,13,Industrial Chemistry & Chemical Engineering
Carbon removal,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Photosynthetic cyanobacterium,12,Microbial Genetics & Synthetic Biology
Ethylene carbonate,13,Industrial Chemistry & Chemical Engineering
Cellulose fiber,10,Biorefinery Feedstocks & Biomass Processing
Ammonium hydroxide (NH4OH),13,Industrial Chemistry & Chemical Engineering
Thermochemical process,23,Environmental Engineering & Waste Management
Mold,11,Microbial & Algal Bioprocessing
Insertion,2,Genomics & Genetic Engineering
Geranyl diphosphate (GPP),27,Metabolic Engineering & Synthetic Biology
Carbon structure,13,Industrial Chemistry & Chemical Engineering
Chlorella minutissima (microalga),14,Agricultural Residues & Biomass Valorization
Acetyl-CoA carboxylase 1 (ACC1),22,Genetic Engineering Tools & Expression Systems
Sugarcane molasses,11,Microbial & Algal Bioprocessing
Food waste,10,Biorefinery Feedstocks & Biomass Processing
Chlamydomonas reinhardtii cell,16,Marine & Algal Natural Products
Arginine (C6H14N4O2),3,Protein Structure & Cell Biology
Anolyte,7,Heterogeneous Catalysis & Materials
D-Lactate,27,Metabolic Engineering & Synthetic Biology
Crotonaldehyde,13,Industrial Chemistry & Chemical Engineering
Cellotetraose,0,Industrial Enzymes & Fungal Bioprocessing
Cellotriose,0,Industrial Enzymes & Fungal Bioprocessing
Glutamate decarboxylase (GAD),27,Metabolic Engineering & Synthetic Biology
Intracellular ATP,27,Metabolic Engineering & Synthetic Biology
